replicate	fa	treatment	fa_conc
S_18	C18:2(n-6t)	Pro	0
S_18	C18:2(n-6c)	Pro	30.02340036
S_18	C18:3(n-6)	Pro	1.841301532
S_18	C18:3(n-3)	Pro	8.520470248
S_18	C18:4(n-3)	Pro	2.372400602
S_18	C20:0	Pro	0
S_18	C20:1	Pro	7.194358239
S_18	C20:2(n-6)	Pro	9.303829334
S_18	C20:3(n-6)	Pro	2.587677146
S_18	C20:4(n-6)	Pro	20.29821949
S_18	C20:3(n-3)	Pro	0
S_18	C21:0	Pro	0
S_18	C20:5(n-3)	Pro	23.63657991
S_18	C22:0	Pro	0
S_18	C22:1	Pro	12.41789027
S_18	C22:2	Pro	0
S_18	C22:5(n-3)	Pro	4.798766965
S_18	C22:6(n-3)	Pro	2.465183277
S_18	C24:0	Pro	0
S_18	C24:1	Pro	0
S_19	C08:0	Pro	0
S_19	C10:0	Pro	0
S_19	C11:0	Pro	0
S_19	C12:0	Pro	0
S_19	C13:0	Pro	0
S_19	C14:0	Pro	0.997479716
S_19	C14:1	Pro	0
S_19	C15:0	Pro	0
S_19	C15:1	Pro	0
S_19	C16:0	Pro	102.0495486
S_19	C16:1	Pro	51.63159028
S_19	C17:1	Pro	0
S_19	C18:0	Pro	70.90307684
S_19	C18:1	Pro	96.50257826
S_19	C18:2(n-6t)	Pro	0
S_19	C18:2(n-6c)	Pro	33.00035027
S_19	C18:3(n-6)	Pro	0.724546588
S_19	C18:3(n-3)	Pro	6.491082548
S_19	C18:4(n-3)	Pro	0
S_19	C20:0	Pro	1.021130597
S_19	C20:1	Pro	11.73071093
S_19	C20:2(n-6)	Pro	7.138144286
S_19	C20:3(n-6)	Pro	0.995599088
S_19	C20:4(n-6)	Pro	17.82935829
S_19	C20:3(n-3)	Pro	0
S_19	C21:0	Pro	0
S_19	C20:5(n-3)	Pro	18.69413454
S_19	C22:0	Pro	0
S_19	C22:1	Pro	17.1399601
S_19	C22:2	Pro	0
S_19	C22:5(n-3)	Pro	4.033472642
S_19	C22:6(n-3)	Pro	1.375782956
S_19	C24:0	Pro	0
S_19	C24:1	Pro	0
S_20	C08:0	Pro	0
S_20	C10:0	Pro	0
S_20	C11:0	Pro	0
S_20	C12:0	Pro	0
S_20	C13:0	Pro	0
S_20	C14:0	Pro	0.297776396
S_20	C14:1	Pro	0
S_20	C15:0	Pro	0
S_20	C15:1	Pro	0
S_20	C16:0	Pro	78.88121307
S_20	C16:1	Pro	28.54679083
S_20	C17:1	Pro	0
S_20	C18:0	Pro	58.95066041
S_20	C18:1	Pro	77.89549909
S_20	C18:2(n-6t)	Pro	0
S_20	C18:2(n-6c)	Pro	34.9452979
S_20	C18:3(n-6)	Pro	1.078400503
S_20	C18:3(n-3)	Pro	7.274219311
S_20	C18:4(n-3)	Pro	0
S_20	C20:0	Pro	1.366647078
S_20	C20:1	Pro	7.395515354
S_20	C20:2(n-6)	Pro	3.787461567
S_20	C20:3(n-6)	Pro	0
S_20	C20:4(n-6)	Pro	13.58952104
S_20	C20:3(n-3)	Pro	0
S_20	C21:0	Pro	0
S_20	C20:5(n-3)	Pro	17.45572423
S_20	C22:0	Pro	0
